episode,state,action,reward,next_state,done
1,63,0,-1.0,163,False
1,163,1,-1.0,63,False
1,63,4,-10.0,63,False
1,63,2,-1.0,83,False
1,83,4,-10.0,83,False
1,83,2,-1.0,83,False
1,83,5,-10.0,83,False
1,83,2,-1.0,83,False
1,83,3,-1.0,63,False
1,63,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,3,-1.0,63,False
1,63,2,-1.0,83,False
1,83,5,-10.0,83,False
1,83,2,-1.0,83,False
1,83,4,-10.0,83,False
1,83,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,2,-1.0,83,False
1,83,3,-1.0,63,False
2,63,2,-1.0,83,False
2,83,3,-1.0,63,False
2,63,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,1,-1.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,5,-10.0,83,False
2,83,3,-1.0,63,False
2,63,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,1,-1.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
