episode,state,action,reward,next_state,done
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,0,-1.0,163,False
1,163,0,-1.0,263,False
1,263,1,-1.0,163,False
1,163,5,-10.0,163,False
1,163,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,1,-1.0,63,False
1,63,3,-1.0,43,False
1,43,4,-10.0,43,False
1,43,4,-10.0,43,False
1,43,2,-1.0,63,False
1,63,1,-1.0,63,False
2,63,1,-1.0,63,False
2,63,1,-1.0,63,False
2,63,0,-1.0,163,False
2,163,1,-1.0,63,False
2,63,1,-1.0,63,False
2,63,3,-1.0,43,False
2,43,1,-1.0,43,False
2,43,3,-1.0,43,False
2,43,1,-1.0,43,False
2,43,1,-1.0,43,False
2,43,1,-1.0,43,False
2,43,2,-1.0,63,False
2,63,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,2,-1.0,83,False
