episode,state,action,reward,next_state,done
1,63,1,-1.0,63,False
1,63,5,-10.0,63,False
1,63,2,-1.0,83,False
1,83,0,-1.0,183,False
1,183,0,-1.0,283,False
1,283,0,-1.0,383,False
1,383,0,-1.0,483,False
1,483,5,-10.0,483,False
1,483,3,-1.0,463,False
1,463,0,-1.0,463,False
1,463,3,-1.0,463,False
1,463,3,-1.0,463,False
1,463,3,-1.0,463,False
1,463,3,-1.0,463,False
1,463,0,-1.0,463,False
1,463,0,-1.0,463,False
1,463,0,-1.0,463,False
1,463,0,-1.0,463,False
1,463,0,-1.0,463,False
1,463,0,-1.0,463,False
2,63,0,-1.0,163,False
2,163,2,-1.0,183,False
2,183,2,-1.0,183,False
2,183,0,-1.0,283,False
2,283,0,-1.0,383,False
2,383,0,-1.0,483,False
2,483,3,-1.0,463,False
2,463,0,-1.0,463,False
2,463,2,-1.0,483,False
2,483,4,-10.0,483,False
2,483,0,-1.0,483,False
2,483,0,-1.0,483,False
2,483,2,-1.0,483,False
2,483,0,-1.0,483,False
2,483,0,-1.0,483,False
2,483,3,-1.0,463,False
2,463,4,-10.0,463,False
2,463,0,-1.0,463,False
2,463,0,-1.0,463,False
2,463,1,-1.0,363,False
