episode,state,action,reward,next_state,done
1,63,3,-1.0,43,False
1,43,5,-10.0,43,False
1,43,2,-1.0,63,False
1,63,4,-10.0,63,False
1,63,4,-10.0,63,False
1,63,4,-10.0,63,False
1,63,4,-10.0,63,False
1,63,0,-1.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,4,-10.0,163,False
1,163,3,-1.0,143,False
1,143,4,-10.0,143,False
1,143,3,-1.0,143,False
1,143,4,-10.0,143,False
2,63,4,-10.0,63,False
2,63,0,-1.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,5,-10.0,163,False
