episode,state,action,reward,next_state,done
1,341,3,-1.0,321,False
1,321,2,-1.0,341,False
1,341,2,-1.0,341,False
1,341,2,-1.0,341,False
1,341,3,-1.0,321,False
1,321,2,-1.0,341,False
1,341,2,-1.0,341,False
1,341,0,-1.0,441,False
1,441,2,-1.0,441,False
1,441,2,-1.0,441,False
1,441,4,-10.0,441,False
1,441,1,-1.0,341,False
1,341,4,-10.0,341,False
1,341,2,-1.0,341,False
1,341,2,-1.0,341,False
1,341,4,-10.0,341,False
1,341,2,-1.0,341,False
1,341,2,-1.0,341,False
1,341,1,-1.0,241,False
1,241,4,-10.0,241,False
2,341,2,-1.0,341,False
2,341,3,-1.0,321,False
2,321,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,2,-1.0,341,False
2,341,1,-1.0,241,False
2,241,2,-1.0,261,False
2,261,2,-1.0,281,False
2,281,2,-1.0,281,False
2,281,2,-1.0,281,False
2,281,5,-10.0,281,False
2,281,2,-1.0,281,False
2,281,2,-1.0,281,False
2,281,2,-1.0,281,False
2,281,2,-1.0,281,False
2,281,2,-1.0,281,False
