episode,state,action,reward,next_state,done
1,63,3,-1.0,43,False
1,43,2,-1.0,63,False
1,63,0,-1.0,163,False
1,163,2,-1.0,183,False
1,183,4,-10.0,183,False
1,183,4,-10.0,183,False
1,183,2,-1.0,183,False
1,183,2,-1.0,183,False
1,183,5,-10.0,183,False
1,183,0,-1.0,283,False
1,283,0,-1.0,383,False
1,383,1,-1.0,283,False
1,283,2,-1.0,283,False
1,283,2,-1.0,283,False
1,283,3,-1.0,263,False
1,263,3,-1.0,243,False
1,243,0,-1.0,343,False
1,343,2,-1.0,343,False
1,343,2,-1.0,343,False
1,343,0,-1.0,443,False
2,63,4,-10.0,63,False
2,63,0,-1.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,4,-10.0,163,False
2,163,1,-1.0,63,False
2,63,2,-1.0,83,False
2,83,2,-1.0,83,False
2,83,3,-1.0,63,False
2,63,1,-1.0,63,False
2,63,0,-1.0,163,False
2,163,2,-1.0,183,False
2,183,0,-1.0,283,False
2,283,4,-10.0,283,False
2,283,4,-10.0,283,False
2,283,2,-1.0,283,False
2,283,3,-1.0,263,False
2,263,2,-1.0,283,False
2,283,4,-10.0,283,False
2,283,5,-10.0,283,False
