episode,state,action,reward,next_state,done
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,2,-1.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,5,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,5,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,4,-10.0,341,False
1,341,5,-10.0,341,False
2,341,0,-1.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,5,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
2,441,4,-10.0,441,False
3,341,3,-1.0,321,False
3,321,4,-10.0,321,False
3,321,3,-1.0,321,False
3,321,0,-1.0,421,False
3,421,4,-10.0,421,False
3,421,2,-1.0,441,False
3,441,1,-1.0,341,False
3,341,0,-1.0,441,False
3,441,4,-10.0,441,False
3,441,4,-10.0,441,False
3,441,3,-1.0,421,False
3,421,4,-10.0,421,False
3,421,4,-10.0,421,False
3,421,4,-10.0,421,False
3,421,4,-10.0,421,False
3,421,5,-10.0,421,False
3,421,4,-10.0,421,False
3,421,4,-10.0,421,False
3,421,4,-10.0,421,False
3,421,3,-1.0,421,False
3,421,3,-1.0,421,False
3,421,3,-1.0,421,False
3,421,5,-10.0,421,False
3,421,5,-10.0,421,False
3,421,5,-10.0,421,False
