episode,state,action,reward,next_state,done
1,63,4,-10.0,63,False
1,63,0,-1.0,163,False
1,163,4,-10.0,163,False
1,163,5,-10.0,163,False
1,163,1,-1.0,63,False
1,63,4,-10.0,63,False
1,63,4,-10.0,63,False
1,63,3,-1.0,43,False
1,43,4,-10.0,43,False
1,43,5,-10.0,43,False
1,43,1,-1.0,43,False
1,43,4,-10.0,43,False
1,43,0,-1.0,143,False
1,143,4,-10.0,143,False
1,143,4,-10.0,143,False
1,143,4,-10.0,143,False
1,143,2,-1.0,163,False
1,163,1,-1.0,63,False
1,63,2,-1.0,83,False
1,83,4,-10.0,83,False
2,63,2,-1.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,5,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,4,-10.0,83,False
2,83,2,-1.0,83,False
2,83,0,-1.0,183,False
2,183,4,-10.0,183,False
2,183,4,-10.0,183,False
2,183,0,-1.0,283,False
2,283,4,-10.0,283,False
2,283,4,-10.0,283,False
2,283,4,-10.0,283,False
2,283,4,-10.0,283,False
