step,reward,done
0,4.803789452739166,False
1,4.843390656719045,False
2,4.815750436779206,False
3,4.790147648053821,False
4,4.814264424996408,False
5,4.808026731379014,False
6,4.842582461965975,False
7,4.83265681348197,False
8,4.7686711358209415,False
9,0.07928359811845809,False
10,3.1863000908537105,False
11,5.155145893016569,False
12,5.177812123376499,False
13,5.191113055710416,False
14,5.200160812660415,False
15,5.239705808338267,False
16,5.230662843678815,False
17,5.221218572957122,False
18,5.183620285137108,False
19,0.20696927140249888,True
