step,reward,done
0,4.77059594096323,False
1,4.833989825281191,False
2,4.783126501047074,False
3,4.775432318429531,False
4,4.817039297718915,False
5,4.758501267731966,False
6,4.813043976173451,False
7,4.822970348033131,False
8,4.788073755809973,False
9,2.3312091520558353,False
10,2.286387556589912,False
11,3.702183864728209,False
12,4.380440823303814,False
13,4.428405894424617,False
14,4.416839675535984,False
15,4.429610621942752,False
16,2.3897940833573097,False
17,4.127515933986011,False
18,4.335382057152575,False
19,2.7509825003453834,False
20,4.026831875424578,False
21,4.248949329200721,False
22,4.277249400898079,False
23,4.24851042916091,False
24,4.323831527326534,False
25,4.260924567602535,False
26,3.841451350330739,False
27,3.0239348405389874,False
28,3.8744509418052546,False
29,3.8383169368705596,False
30,3.8748167105425404,False
31,2.8734440829583217,False
32,4.125395929409802,False
33,4.147887448699186,False
34,4.238895084905001,False
35,4.205494931058606,False
36,2.6165843048378497,False
37,3.963024735708462,False
38,-0.857754028469655,True
