step,reward,done
0,4.747170591436419,False
1,4.810536221586958,False
2,4.759683237567782,False
3,4.751963339064531,False
4,4.793601721266736,False
5,4.735090541077322,False
6,4.789674857802618,False
7,4.799423893616817,False
8,4.764390191549132,False
9,2.3104347819121074,False
10,1.8982323651406046,False
11,3.551027210943469,False
12,4.362202250731847,False
13,4.452499436781616,False
14,4.428702201753576,False
15,4.445962190418403,False
16,1.764073730844033,False
17,4.178986508838805,False
18,4.33860074782201,False
19,2.8946550462560525,False
20,4.030206847260614,False
21,4.205900700524383,False
22,4.217335771745009,False
23,4.1818966568132385,False
24,4.257903469722386,False
25,4.194440927619796,False
26,4.047175888116341,False
27,3.4394459683989074,False
28,3.051697298362334,False
29,3.566183522100132,False
30,3.7355470873331864,False
31,2.172884398893019,False
32,4.066417937543334,False
33,4.030955194982965,False
34,4.108659872463109,False
35,4.073239636510945,False
36,2.2805772012046313,False
37,-1.1158971460743914,True
