step,reward,done
0,4.779039461147336,False
1,4.842388820706024,False
2,4.791542553729515,False
3,4.783912221491632,False
4,4.8254734579536365,False
5,4.767024708986142,False
6,4.821555193850287,False
7,4.831326034844564,False
8,4.796349999135927,False
9,2.8255407116995976,False
10,2.9831756873062907,False
11,3.9319166415289875,False
12,4.420259244186132,False
13,4.46667640206111,False
14,4.464922570780919,False
15,4.476528178599466,False
16,1.9461019320834776,False
17,4.161971066172229,False
18,4.383647586959679,False
19,2.930740145311252,False
20,4.08934715667286,False
21,4.296233672477714,False
22,4.324758205581263,False
23,4.296806079030891,False
24,4.134181843077867,False
25,4.235781810222408,False
26,3.3800091638722,False
27,4.368046363740791,False
28,4.253728530570977,False
29,4.155158473160839,False
30,3.74253899772699,False
31,4.01539506512593,False
32,4.357154349303394,False
33,4.537185481514644,False
34,4.640228970373751,False
35,4.606864521440721,False
36,4.609718118270735,False
37,3.6456833443952634,False
38,4.58295759457353,False
39,4.590868130801037,False
40,4.611641802385166,False
41,4.586536031418388,False
42,3.362174184374874,False
43,-0.5969943361230023,True
