episode,step,state,action,next_state,reward,done
1,1,0,2,0,0.0,0.0
1,2,0,2,0,0.0,0.0
1,3,0,3,0,0.0,0.0
1,4,0,3,0,0.0,0.0
1,5,0,0,4,0.0,0.0
1,6,4,2,5,0.0,1.0
2,1,0,2,0,0.0,0.0
2,2,0,1,1,0.0,0.0
2,3,1,2,2,0.0,0.0
2,4,2,3,3,0.0,0.0
2,5,3,1,2,0.0,0.0
2,6,2,0,6,0.0,0.0
2,7,6,0,2,0.0,0.0
2,8,2,0,6,0.0,0.0
2,9,6,0,2,0.0,0.0
2,10,2,1,1,0.0,0.0
2,11,1,2,1,0.0,0.0
2,12,1,1,2,0.0,0.0
2,13,2,2,2,0.0,0.0
2,14,2,3,3,0.0,0.0
2,15,3,3,3,0.0,0.0
2,16,3,2,3,0.0,0.0
2,17,3,3,3,0.0,0.0
2,18,3,2,7,0.0,1.0
3,1,0,0,0,0.0,0.0
3,2,0,2,0,0.0,0.0
3,3,0,0,0,0.0,0.0
3,4,0,3,1,0.0,0.0
3,5,1,2,5,0.0,1.0
4,1,0,2,4,0.0,0.0
4,2,4,3,0,0.0,0.0
4,3,0,3,1,0.0,0.0
4,4,1,2,5,0.0,1.0
5,1,0,2,1,0.0,0.0
5,2,1,1,2,0.0,0.0
5,3,2,2,2,0.0,0.0
5,4,2,0,6,0.0,0.0
5,5,6,2,2,0.0,0.0
5,6,2,3,3,0.0,0.0
5,7,3,2,3,0.0,0.0
5,8,3,0,3,0.0,0.0
5,9,3,1,7,0.0,1.0
