episode,step,s_x,s_y,action,reward,next_s_x,next_s_y,done
0,0,0,1,0,-1,0,0,0
0,1,0,0,0,-1,0,0,0
0,2,0,0,1,-1,0,1,0
0,3,0,1,1,-1,0,2,0
0,4,0,2,0,-1,0,1,0
0,5,0,1,2,-1,0,1,0
0,6,0,1,3,-1,1,1,0
0,7,1,1,0,-1,1,0,0
0,8,1,0,0,-1,1,0,0
0,9,1,0,1,-1,1,1,0
0,10,1,1,1,-1,1,2,0
0,11,1,2,0,-1,1,1,0
0,12,1,1,2,-1,0,1,0
0,13,0,1,0,-1,0,0,0
0,14,0,0,2,-1,0,0,0
0,15,0,0,3,-1,1,0,0
0,16,1,0,2,-1,0,0,0
0,17,0,0,0,-1,0,0,0
0,18,0,0,1,-1,0,1,0
0,19,0,1,1,-1,0,2,0
1,0,0,1,2,-1,0,1,0
1,1,0,1,3,-1,1,1,0
1,2,1,1,3,-1,1,1,0
1,3,1,1,0,-1,1,0,0
1,4,1,0,1,-1,1,1,0
1,5,1,1,3,-1,1,1,0
1,6,1,1,2,-1,0,1,0
1,7,0,1,0,-1,0,0,0
1,8,0,0,2,-1,0,0,0
1,9,0,0,3,-1,1,0,0
1,10,1,0,3,-1,2,0,0
1,11,2,0,0,-1,2,0,0
1,12,2,0,1,-1,2,0,0
1,13,2,0,2,-1,1,0,0
1,14,1,0,0,-1,1,0,0
1,15,1,0,3,-1,2,0,0
1,16,2,0,3,-1,3,0,0
1,17,3,0,3,-1,4,0,0
1,18,4,0,0,-1,4,0,0
1,19,4,0,0,-1,4,0,0
2,0,0,1,1,-1,0,2,0
2,1,0,2,1,-1,0,2,0
2,2,0,2,2,-1,0,2,0
2,3,0,2,3,-1,1,2,0
2,4,1,2,1,-1,1,2,0
2,5,1,2,1,-1,1,2,0
2,6,1,2,2,-1,0,2,0
2,7,0,2,0,-1,0,1,0
2,8,0,1,3,-1,1,1,0
2,9,1,1,0,-1,1,0,0
2,10,1,0,2,-1,0,0,0
2,11,0,0,3,-1,1,0,0
2,12,1,0,3,-1,2,0,0
2,13,2,0,0,-1,2,0,0
2,14,2,0,1,-1,2,0,0
2,15,2,0,3,-1,3,0,0
2,16,3,0,2,-1,2,0,0
2,17,2,0,2,-1,1,0,0
2,18,1,0,0,-1,1,0,0
2,19,1,0,1,-1,1,1,0
3,0,0,1,3,-1,1,1,0
3,1,1,1,1,-1,1,2,0
3,2,1,2,3,-1,1,2,0
3,3,1,2,0,-1,1,1,0
3,4,1,1,1,-1,1,2,0
3,5,1,2,3,-1,1,2,0
3,6,1,2,2,-1,0,2,0
3,7,0,2,1,-1,0,2,0
3,8,0,2,2,-1,0,2,0
3,9,0,2,3,-1,1,2,0
3,10,1,2,1,-1,1,2,0
