episode,step,s_x,s_y,action,reward,next_s_x,next_s_y,done
0,0,0,2,0,-1,0,1,0
0,1,0,1,1,-1,0,2,0
0,2,0,2,3,-1,1,2,0
0,3,1,2,2,-1,0,2,0
0,4,0,2,3,-1,1,2,0
0,5,1,2,0,-1,1,1,0
0,6,1,1,2,-1,0,1,0
0,7,0,1,0,-1,0,0,0
0,8,0,0,3,-1,1,0,0
0,9,1,0,3,-1,2,0,0
0,10,2,0,2,-1,1,0,0
0,11,1,0,3,-1,2,0,0
0,12,2,0,3,-1,3,0,0
0,13,3,0,3,-1,4,0,0
0,14,4,0,1,-1,4,1,0
0,15,4,1,0,-1,4,0,0
0,16,4,0,1,-1,4,1,0
0,17,4,1,1,0,4,2,1
1,0,0,2,2,-1,0,2,0
1,1,0,2,0,-1,0,1,0
1,2,0,1,0,-1,0,0,0
1,3,0,0,3,-1,1,0,0
1,4,1,0,3,-1,2,0,0
1,5,2,0,3,-1,3,0,0
1,6,3,0,1,-1,3,1,0
1,7,3,1,1,-1,3,2,0
1,8,3,2,3,0,4,2,1
2,0,0,2,0,-1,0,1,0
2,1,0,1,0,-1,0,0,0
2,2,0,0,3,-1,1,0,0
2,3,1,0,3,-1,2,0,0
2,4,2,0,3,-1,3,0,0
2,5,3,0,1,-1,3,1,0
2,6,3,1,3,-1,4,1,0
2,7,4,1,1,0,4,2,1
3,0,0,2,0,-1,0,1,0
3,1,0,1,0,-1,0,0,0
3,2,0,0,3,-1,1,0,0
3,3,1,0,3,-1,2,0,0
3,4,2,0,3,-1,3,0,0
3,5,3,0,3,-1,4,0,0
3,6,4,0,1,-1,4,1,0
3,7,4,1,1,0,4,2,1
4,0,0,2,0,-1,0,1,0
4,1,0,1,0,-1,0,0,0
4,2,0,0,3,-1,1,0,0
4,3,1,0,3,-1,2,0,0
4,4,2,0,3,-1,3,0,0
4,5,3,0,1,-1,3,1,0
4,6,3,1,1,-1,3,2,0
4,7,3,2,3,0,4,2,1
5,0,0,2,0,-1,0,1,0
5,1,0,1,0,-1,0,0,0
5,2,0,0,3,-1,1,0,0
5,3,1,0,3,-1,2,0,0
5,4,2,0,0,-1,2,0,0
5,5,2,0,1,-1,2,0,0
5,6,2,0,3,-1,3,0,0
5,7,3,0,3,-1,4,0,0
5,8,4,0,1,-1,4,1,0
5,9,4,1,1,0,4,2,1
6,0,0,2,0,-1,0,1,0
6,1,0,1,0,-1,0,0,0
6,2,0,0,3,-1,1,0,0
6,3,1,0,3,-1,2,0,0
6,4,2,0,3,-1,3,0,0
6,5,3,0,3,-1,4,0,0
6,6,4,0,1,-1,4,1,0
6,7,4,1,1,0,4,2,1
7,0,0,2,0,-1,0,1,0
7,1,0,1,0,-1,0,0,0
7,2,0,0,3,-1,1,0,0
7,3,1,0,3,-1,2,0,0
7,4,2,0,3,-1,3,0,0
7,5,3,0,3,-1,4,0,0
7,6,4,0,1,-1,4,1,0
7,7,4,1,1,0,4,2,1
8,0,0,2,0,-1,0,1,0
8,1,0,1,0,-1,0,0,0
8,2,0,0,3,-1,1,0,0
8,3,1,0,3,-1,2,0,0
8,4,2,0,3,-1,3,0,0
8,5,3,0,3,-1,4,0,0
8,6,4,0,1,-1,4,1,0
8,7,4,1,1,0,4,2,1
9,0,0,2,0,-1,0,1,0
9,1,0,1,0,-1,0,0,0
9,2,0,0,3,-1,1,0,0
9,3,1,0,3,-1,2,0,0
9,4,2,0,3,-1,3,0,0
9,5,3,0,1,-1,3,1,0
9,6,3,1,1,-1,3,2,0
9,7,3,2,3,0,4,2,1
10,0,0,2,0,-1,0,1,0
10,1,0,1,0,-1,0,0,0
10,2,0,0,3,-1,1,0,0
10,3,1,0,3,-1,2,0,0
10,4,2,0,3,-1,3,0,0
10,5,3,0,3,-1,4,0,0
10,6,4,0,1,-1,4,1,0
10,7,4,1,1,0,4,2,1
11,0,0,2,0,-1,0,1,0
11,1,0,1,0,-1,0,0,0
11,2,0,0,3,-1,1,0,0
11,3,1,0,3,-1,2,0,0
11,4,2,0,3,-1,3,0,0
11,5,3,0,1,-1,3,1,0
11,6,3,1,1,-1,3,2,0
11,7,3,2,3,0,4,2,1
12,0,0,2,0,-1,0,1,0
12,1,0,1,0,-1,0,0,0
12,2,0,0,3,-1,1,0,0
12,3,1,0,3,-1,2,0,0
12,4,2,0,3,-1,3,0,0
12,5,3,0,3,-1,4,0,0
12,6,4,0,1,-1,4,1,0
12,7,4,1,1,0,4,2,1
13,0,0,2,0,-1,0,1,0
13,1,0,1,0,-1,0,0,0
13,2,0,0,3,-1,1,0,0
13,3,1,0,3,-1,2,0,0
13,4,2,0,0,-1,2,0,0
13,5,2,0,3,-1,3,0,0
13,6,3,0,1,-1,3,1,0
13,7,3,1,1,-1,3,2,0
13,8,3,2,0,-1,3,1,0
13,9,3,1,3,-1,4,1,0
13,10,4,1,1,0,4,2,1
14,0,0,2,0,-1,0,1,0
14,1,0,1,0,-1,0,0,0
14,2,0,0,3,-1,1,0,0
14,3,1,0,3,-1,2,0,0
14,4,2,0,3,-1,3,0,0
14,5,3,0,3,-1,4,0,0
14,6,4,0,0,-1,4,0,0
14,7,4,0,1,-1,4,1,0
14,8,4,1,2,-1,3,1,0
14,9,3,1,3,-1,4,1,0
14,10,4,1,1,0,4,2,1
15,0,0,2,0,-1,0,1,0
15,1,0,1,3,-1,1,1,0
15,2,1,1,0,-1,1,0,0
15,3,1,0,3,-1,2,0,0
15,4,2,0,3,-1,3,0,0
15,5,3,0,1,-1,3,1,0
15,6,3,1,3,-1,4,1,0
